K = 4, D = 1, C = 3
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  3
    nintr = 0


K = 4, Run (1,1,1): fitness => -4.53
K = 4, Run (1,1,2): fitness => -4.40
K = 4, Run (1,1,3): fitness => -4.29
K = 4, Run (1,1,4): fitness => -4.22
K = 4, Run (1,1,5): fitness => -4.17

K = 4, Run (1,2,1): fitness => -4.37
K = 4, Run (1,2,2): fitness => -4.30
K = 4, Run (1,2,3): fitness => -4.22
K = 4, Run (1,2,4): fitness => -4.17
K = 4, Run (1,2,5): fitness => -4.17

K = 4, Run (1,3,1): fitness => -4.26
K = 4, Run (1,3,2): fitness => -4.19
K = 4, Run (1,3,3): fitness => -4.17
K = 4, Run (1,3,4): fitness => -4.17
K = 4, Run (1,3,5): fitness => -4.17

K = 4, Run (1,4,1): fitness => -4.17
K = 4, Run (1,4,2): fitness => -4.17
K = 4, Run (1,4,3): fitness => -4.17
K = 4, Run (1,4,4): fitness => -4.17
K = 4, Run (1,4,5): fitness => -4.17

K = 4, Run (1,5,1): fitness => -4.17
K = 4, Run (1,5,2): fitness => -4.17
K = 4, Run (1,5,3): fitness => -4.17
K = 4, Run (1,5,4): fitness => -4.17
K = 4, Run (1,5,5): fitness => -4.17

K = 4, Run (1,6,1): fitness => -4.17
K = 4, Run (1,6,2): fitness => -4.17
K = 4, Run (1,6,3): fitness => -4.17
K = 4, Run (1,6,4): fitness => -4.17
K = 4, Run (1,6,5): fitness => -4.17

K = 4, Run (1,7,1): fitness => -4.17
K = 4, Run (1,7,2): fitness => -4.17
K = 4, Run (1,7,3): fitness => -4.17
K = 4, Run (1,7,4): fitness => -4.17
K = 4, Run (1,7,5): fitness => -4.17

K = 4, Run (1,8,1): fitness => -4.17
K = 4, Run (1,8,2): fitness => -4.17
K = 4, Run (1,8,3): fitness => -4.17
K = 4, Run (1,8,4): fitness => -4.17
K = 4, Run (1,8,5): fitness => -4.17

K = 4, Run (1,9,1): fitness => -4.17
K = 4, Run (1,9,2): fitness => -4.17
K = 4, Run (1,9,3): fitness => -4.17
K = 4, Run (1,9,4): fitness => -4.17
K = 4, Run (1,9,5): fitness => -4.17

K = 4, Run (1,10,1): fitness => -4.17
K = 4, Run (1,10,2): fitness => -4.17
K = 4, Run (1,10,3): fitness => -4.17
